Codeword,Es,SER,noise_power,Tx_SNR,Rx_SNR,PL,Avg_BER,BLER,Tx_EbN0,Rx_EbN0,Bit_Rate,N_subcarriers
2,0.6352150032982081,0.923828125,63.779820106392535,3,[0.04096858 0.12146436],1.0419758791826155,0.7333984375,0.5,-2.7893619248082464,-8.84793342493569,512000.0,9
3,0.6352150032982081,0.947265625,65.70843874746456,3,[0.05103836 0.08698311],-1.1415442759476946,0.77734375,0.5,-2.7893619248082464,-8.74213709257843,512000.0,9
4,0.6352150032982081,0.908203125,66.39418031272633,3,[0.11514432 0.02101729],-4.304942308608844,0.755859375,0.5,-2.7893619248082464,-10.030239564744448,512000.0,9
5,0.6352150032982081,0.951171875,65.92585265200074,3,[0.00216816 0.0014158 ],1.316296408846128,0.8271484375,0.5,-2.7893619248082464,-16.615415276957293,512000.0,9
6,0.6352150032982081,0.9609375,65.87945765634066,3,[0.02514929 0.04300866],-0.8591174922942457,0.7900390625,0.5,-2.7893619248082464,-10.276236482458728,512000.0,9
7,0.6352150032982081,0.875,63.95291642046968,3,[0.13257621 0.66862123],-3.102120833647973,0.6611328125,0.5,-2.7893619248082464,-6.059530953246053,512000.0,9
8,0.6352150032982081,0.94140625,63.779820106392535,3,[0.03659436 0.03526144],0.45127978086445353,0.7587890625,0.5,-2.7893619248082464,-10.00780026039534,512000.0,9
9,0.6352150032982081,0.859375,63.779820106392535,3,[0.58783009 0.22925099],-3.2854842368293333,0.6181640625,0.5,-2.7893619248082464,-5.192572551790404,512000.0,9
10,0.6352150032982081,0.84375,63.779820106392535,3,[1.5503674  0.35330397],-6.125302839013685,0.599609375,0.5,-2.7893619248082464,-3.9841061544861978,512000.0,9
11,0.6352150032982081,0.939453125,63.779820106392535,3,[0.02828583 0.00231058],3.046614444214228,0.7822265625,0.5,-2.7893619248082464,-14.630961663814787,512000.0,9
0,0.6352150032982081,0.8515625,66.77982010639253,0,[0.8132103  1.90532651],-6.196386277025496,0.619140625,0.5,-5.789361924808246,-3.999876652983402,512000.0,9
1,0.6352150032982081,0.876953125,66.77982010639253,0,[0.6364314  0.41963411],-5.937378935547514,0.6484375,0.5,-5.789361924808246,-5.764404357816687,512000.0,9
2,0.6352150032982081,0.904296875,66.77982010639253,0,[0.52245323 0.34394289],-5.816837732274664,0.6845703125,0.5,-5.789361924808246,-6.194975696435704,512000.0,9
3,0.6352150032982081,0.927734375,68.70843874746456,0,[0.14666558 0.1074467 ],-6.266762749943965,0.7646484375,0.5,-5.789361924808246,-8.816583862250639,512000.0,9
4,0.6352150032982081,0.921875,69.39418031272633,0,[0.44822742 0.28982477],-2.708852093569206,0.748046875,0.5,-5.789361924808246,-6.551327743909154,512000.0,9
5,0.6352150032982081,0.921875,68.92585265200074,0,[1.76141602 0.47844093],-6.817833586947074,0.7138671875,0.5,-5.789361924808246,-4.901712051062403,512000.0,9
6,0.6352150032982081,0.953125,68.87945765634066,0,[0.2620165  0.41038603],-3.6368895232594696,0.791015625,0.5,-5.789361924808246,-6.759602633974509,512000.0,9
