Codeword,Es,SER,noise_power,Tx_SNR,Rx_SNR,PL,Avg_BER,BLER,Tx_EbN0,Rx_EbN0,Bit_Rate,N_subcarriers
3,1.4142135623730954,0.7333984375,67.25576261223691,3,[0.00902402 0.00611228],1.5041396855840645,0.484375,0.5833333333333334,0.22093803183156524,-10.460844743801275,512000.0,18
4,1.4142135623730954,0.7529296875,67.25576261223691,3,[0.03623804 0.06118049],-4.209027501057037,0.49072265625,0.5833333333333334,0.22093803183156524,-6.483081614976868,512000.0,18
5,1.4142135623730954,0.7509765625,67.25576261223691,3,[0.15788515 0.7723183 ],-5.297832682762817,0.50146484375,0.5833333333333334,0.22093803183156524,-2.68096367589068,512000.0,18
6,1.4142135623730954,0.7705078125,67.25576261223691,3,[0.11428928 1.18658295],-6.045511699594769,0.515625,0.5833333333333334,0.22093803183156524,-3.1784171703066306,512000.0,18
7,1.4142135623730954,0.7490234375,67.25576261223691,3,[0.8395403 0.5843824],-6.889518228157925,0.49755859375,0.5833333333333334,0.22093803183156524,-0.5825006957691128,512000.0,18
8,1.4142135623730954,0.7470703125,67.25576261223691,3,[0.09158515 0.21624008],-0.9199344698782994,0.50341796875,0.5833333333333334,0.22093803183156524,-4.2264768837365665,512000.0,18
9,1.4142135623730954,0.744140625,67.25576261223691,3,[0.12061137 0.03202484],-3.1283594011482165,0.48876953125,0.5833333333333334,0.22093803183156524,-6.252673935082939,512000.0,18
10,1.4142135623730954,0.76171875,67.25576261223691,3,[0.02394455 0.01793252],-0.6110559577698496,0.4921875,0.5833333333333334,0.22093803183156524,-8.214403169667662,512000.0,18
11,1.4142135623730954,0.748046875,67.25576261223691,3,[0.29856    0.50694755],-1.2279303850099978,0.49169921875,0.5833333333333334,0.22093803183156524,-1.899136815281082,512000.0,18
0,1.4142135623730954,0.7431640625,70.25576261223691,0,[0.01971454 0.00312264],-0.8642269860635281,0.49560546875,0.4166666666666667,-2.7790619681684348,-12.615429790753494,512000.0,18
1,1.4142135623730954,0.744140625,70.25576261223691,0,[1.24348693 1.14302625],-6.862136522129717,0.50048828125,0.4166666666666667,-2.7790619681684348,-0.8940940554522568,512000.0,18
2,1.4142135623730954,0.7412109375,70.25576261223691,0,[2.09510862 0.28839437],-9.221935618414832,0.4892578125,0.4166666666666667,-2.7790619681684348,-2.748873915122203,512000.0,18
3,1.4142135623730954,0.7470703125,70.25576261223691,0,[0.14575376 0.21747724],-3.213012942224026,0.48876953125,0.4166666666666667,-2.7790619681684348,-5.064508624882691,512000.0,18
4,1.4142135623730954,0.71484375,70.25576261223691,0,[0.04377976 0.00448756],-5.39827260749415,0.4853515625,0.4166666666666667,-2.7790619681684348,-11.720608988275131,512000.0,18
5,1.4142135623730954,0.765625,70.25576261223691,0,[0.16180728 0.48042143],-5.1553970732254015,0.5048828125,0.4166666666666667,-2.7790619681684348,-4.354108466495418,512000.0,18
6,1.4142135623730954,0.7548828125,70.25576261223691,0,[5.70110683e-06 1.37600798e-06],-5.913876560634847,0.50732421875,0.4166666666666667,-2.7790619681684348,-29.545142552363345,512000.0,18
7,1.4142135623730954,0.755859375,70.25576261223691,0,[0.0604233  0.28705423],-2.403800307579374,0.51806640625,0.4166666666666667,-2.7790619681684348,-6.2775536209380505,512000.0,18
8,1.4142135623730954,0.751953125,70.25576261223691,0,[0.2017794  0.47261676],-8.922386398827612,0.51171875,0.4166666666666667,-2.7790619681684348,-4.016407733919607,512000.0,18
9,1.4142135623730954,0.74609375,70.25576261223691,0,[1.01689312 0.23957997],-4.713628807784858,0.48779296875,0.4166666666666667,-2.7790619681684348,-3.3308989053811473,512000.0,18
10,1.4142135623730954,0.76953125,70.25576261223691,0,[0.02321774 0.00132098],-3.855331971576689,0.5068359375,0.4166666666666667,-2.7790619681684348,-14.284445232372889,512000.0,18
11,1.4142135623730954,0.734375,70.25576261223691,0,[0.04248883 0.01228275],-1.5653079358730366,0.50048828125,0.4166666666666667,-2.7790619681684348,-9.873686954855657,512000.0,18
0,1.4142135623730954,0.759765625,73.25576261223691,-3,[0.60247103 1.82085772],-10.244407177009379,0.51708984375,0.5,-5.779061968168435,-2.989762776768728,512000.0,18
1,1.4142135623730954,0.7548828125,73.25576261223691,-3,[0.56393775 0.14724615],-9.976443917257726,0.51123046875,0.5,-5.779061968168435,-5.932296002024032,512000.0,18
2,1.4142135623730954,0.7587890625,73.25576261223691,-3,[0.09851861 0.0773042 ],-5.109995383611249,0.5146484375,0.5,-5.779061968168435,-8.085531252264232,512000.0,18
3,1.4142135623730954,0.748046875,73.25576261223691,-3,[0.14646863 0.21921781],-8.213206401535345,0.50439453125,0.5,-5.779061968168435,-6.551204019215477,512000.0,18
4,1.4142135623730954,0.7685546875,73.25576261223691,-3,[0.09509061 0.47592606],-8.365154547182769,0.515625,0.5,-5.779061968168435,-6.773620322011284,512000.0,18
5,1.4142135623730954,0.736328125,73.25576261223691,-3,[3.13088426 2.13729985],-11.12454544631251,0.49365234375,0.5,-5.779061968168435,-0.7494043875559839,512000.0,18
6,1.4142135623730954,0.76953125,73.25576261223691,-3,[5.73398154 1.45980942],-10.001145266284027,0.5107421875,0.5,-5.779061968168435,-0.9397888226180272,512000.0,18
7,1.4142135623730954,0.7578125,73.25576261223691,-3,[1.25196588 0.89553898],-8.288689600740796,0.50830078125,0.5,-5.779061968168435,-2.680047858046663,512000.0,18
8,1.4142135623730954,0.7353515625,73.25576261223691,-3,[1.36019465 0.45304309],-7.959374509802458,0.49169921875,0.5,-5.779061968168435,-3.6123328835490573,512000.0,18
9,1.4142135623730954,0.75390625,73.25576261223691,-3,[0.34350732 0.0141778 ],-6.710797479397556,0.50146484375,0.5,-5.779061968168435,-10.59854267600656,512000.0,18
10,1.4142135623730954,0.7294921875,73.25576261223691,-3,[12.42717327  6.43387458],-11.666877384936768,0.490234375,0.5,-5.779061968168435,1.8676336248710474,512000.0,18
11,1.4142135623730954,0.7353515625,73.25576261223691,-3,[1.59323138 0.63377416],-10.25448149112674,0.482421875,0.5,-5.779061968168435,-2.9863016052128866,512000.0,18
